source_sa2,target_sa2,count,amount,age_bin
401011001,403021058,1402,10031,50-59
401011001,403021058,1072,8141,60-69
401011001,403021061,211,9358,18-29
401011001,403021061,1242,7524,30-39
401011001,403021061,757,3061,40-49
401011001,403021061,812,10982,50-59
401011001,403021062,810,4744,30-39
401011001,403021062,914,1735,50-59
401011001,403021064,397,13179,18-29
401011001,403021064,179,11721,30-39
401011001,403021064,1432,9933,40-49
401011001,403021064,1486,11710,50-59
401011001,403021064,679,2467,60-69
401011001,403031066,1440,672,18-29
401011001,403031066,939,270,30-39
401011001,403031067,213,11185,50-59
401011001,403031068,1509,10382,18-29
401011001,403031068,1451,12286,30-39
401011001,403031068,1498,11993,40-49
401011001,403031068,76,12208,50-59
401011001,403031068,937,9976,60-69
401011001,403031068,235,3449,70-79
401011001,403031069,1398,9597,18-29
401011001,403031069,1284,9030,30-39
401011001,403031069,1437,10787,40-49
401011001,403031069,58,12904,50-59
401011001,403031069,1109,11218,60-69
401011001,403031069,858,6545,70-79
401011001,403031070,1251,6462,18-29
401011001,403031070,715,3254,30-39
401011001,403031070,1119,8118,40-49
401011001,403041072,749,1042,18-29
401011001,403041072,487,3386,50-59
401011001,403041072,962,2678,60-69
401011001,403041073,1254,4878,18-29
401011001,403041073,603,13261,30-39
401011001,403041073,424,3157,50-59
401011001,403041074,962,13729,18-29
401011001,403041083,992,6311,18-29
401011001,403041083,553,4262,30-39
401011001,403041087,951,1807,18-29
401011001,403041087,243,12646,60-69
401011001,404011090,1175,2751,18-29
401011001,404011091,1156,2695,18-29
401011001,404011091,374,13183,30-39
401011001,404011091,741,8035,40-49
401011001,404011091,608,3141,50-59
401011001,404011092,1425,5868,18-29
401011001,404011092,987,4450,30-39
401011001,404011092,978,6595,50-59
401011001,404011092,522,2363,60-69
401011001,404011093,458,13491,18-29
401011001,404011093,262,12800,30-39
401011001,404011093,1505,12841,40-49
401011001,404011093,1465,11785,50-59
401011001,404011093,1306,11274,60-69
401011001,404011096,1338,6238,18-29
401011001,404011096,757,2946,30-39
401011001,404011096,643,2436,40-49
401011001,404011096,724,4449,50-59
401011001,404011096,1062,5626,60-69
401011001,404011097,12,9699,18-29
401011001,404011097,1388,10003,30-39
401011001,404011097,1347,8676,40-49
401011001,404011097,491,4615,50-59
401011001,404011097,608,3982,60-69
401011001,404021099,990,574,18-29
401011001,404021099,413,12791,30-39
401011001,404021101,1145,1927,30-39
401011001,404021101,239,14464,40-49
401011001,404021101,1094,5634,50-59
401011001,404021102,1164,7466,18-29
401011001,404031104,724,1178,18-29
401011001,404031104,24,14055,40-49
401011001,404031104,1495,11691,50-59
401011001,404031104,1380,11107,60-69
401011001,404031106,1344,1099,18-29
401011001,404031106,294,12913,30-39
401011001,404031107,900,2331,18-29
401011001,404031107,686,3030,30-39
401011001,404031107,499,2501,40-49
401011001,404031107,418,1705,50-59
401011001,404031107,106,14587,60-69
401011001,404031107,937,8638,70-79
401011001,404031108,1099,7634,18-29
401011001,404031108,1084,13040,30-39
401011001,404031108,551,5587,40-49
401011001,404031108,896,10890,50-59
401011001,404031108,658,5991,60-69
401011001,404031108,1199,11913,70-79
401011001,405011114,374,12443,18-29
401011001,405031122,674,11928,18-29
401011001,405031122,655,12232,30-39
401011001,405031122,374,9374,40-49
401011001,405031122,541,11775,50-59
401011001,406011133,914,882,18-29
401011001,406021142,933,4469,18-29
401011001,407011144,1031,5768,30-39
401011001,407011144,968,4066,50-59
401011001,407011144,1086,6499,60-69
401011001,407011144,1164,6287,70-79
401011001,407011145,782,4650,18-29
401011001,407011148,840,14583,18-29
401011001,407011148,821,2398,30-39
401011001,407011148,265,14479,40-49
401011001,407011148,933,4292,50-59
401011001,407011148,982,7650,60-69
401011001,407011148,666,4982,70-79
401011001,407011149,1033,5133,50-59
401011001,407021151,639,13487,18-29
401011001,407021154,643,14214,18-29
401011001,407031160,1053,4764,18-29
401011001,407031161,722,868,18-29
401011001,407031161,273,4230,50-59
401011001,407031164,243,1561,30-39
401011001,407031165,1072,2041,18-29
401011001,407031165,973,9033,40-49
401011001,407031165,69,4724,50-59
401011001,407031165,1249,10635,60-69
401011001,407031165,1269,807,70-79
401011001,407031167,945,1318,18-29
401011002,401011001,811,14763,18-29
401011002,401011001,318,12340,30-39
401011002,401011001,227,13088,40-49
401011002,401011001,250,14618,50-59
401011002,401011001,109,13107,60-69
401011002,401011001,902,7988,70-79
401011002,401011001,1231,10893,80+
401011002,401011002,502,12284,18-29
401011002,401011002,359,12045,30-39
401011002,401011002,297,12909,40-49
401011002,401011002,622,878,50-59
401011002,401011002,635,879,60-69
401011002,401011002,160,12482,70-79
401011002,401011002,762,716,80+
401011002,401021004,1191,5635,40-49
401011002,401021004,999,8859,50-59
401011002,401021007,987,8130,30-39
401011002,401021007,301,10509,60-69
401011002,401031011,801,2364,18-29
401011002,401031011,752,5281,60-69
401011002,401031011,262,523,70-79
401011002,401031012,1366,8716,18-29
401011002,401031012,1124,5333,30-39
401011002,401031012,906,6431,40-49
401011002,401031012,914,8202,50-59
401011002,401031012,795,6698,60-69
401011002,401031013,192,830,18-29
401011002,401031013,54,14677,30-39
401011002,401031013,46,2555,50-59
401011002,401031013,118,3348,60-69
401011002,401031013,1406,14154,70-79
401011002,401031013,467,3431,80+
401011002,401041016,980,5568,18-29
401011002,401041016,520,8666,60-69
401011002,401051017,732,1065,18-29
401011002,401051017,379,14436,30-39
401011002,401051017,377,1276,40-49
401011002,401051017,574,3267,50-59
401011002,401051017,484,1930,60-69
401011002,401051017,71,13872,70-79
401011002,401051017,379,2572,80+
401011002,401051018,1390,8313,18-29
401011002,401051018,1278,6616,30-39
401011002,401051018,968,6603,40-49
401011002,401051018,962,8631,50-59
401011002,401051018,922,5757,60-69
401011002,401051019,360,13433,18-29
401011002,401051019,1512,10788,30-39
401011002,401051019,45,14066,40-49
401011002,401051019,55,14993,50-59
401011002,401051019,241,1407,60-69
401011002,401051019,1295,11279,70-79
401011002,401051019,277,1002,80+
401011002,401061020,1444,9687,18-29
401011002,401061020,1245,7082,30-39
401011002,401061020,1294,10964,40-49
401011002,401061020,1411,11955,50-59
401011002,401061020,17,14662,60-69
401011002,401061020,997,10070,70-79
401011002,401061021,637,1842,18-29
401011002,401061021,507,773,30-39
401011002,401061021,438,1117,40-49
401011002,401061021,648,4057,50-59
401011002,401061021,631,4130,60-69
401011002,401061021,475,576,80+
401011002,401061022,133,13179,18-29
401011002,401061022,115,13607,30-39
401011002,401061022,1463,12886,40-49
401011002,401061022,1402,11566,50-59
401011002,401061022,264,14945,60-69
401011002,401061022,1295,10097,70-79
401011002,401071023,1154,8901,18-29
401011002,401071023,1002,6672,30-39
401011002,401071023,790,7804,40-49
401011002,401071023,1081,9419,50-59
401011002,401071023,1187,10461,60-69
401011002,401071024,140,11089,18-29
401011002,401071024,1418,12107,30-39
401011002,401071024,1150,12209,40-49
401011002,401071024,123,1725,60-69
401011002,401071024,1185,12457,70-79
401011002,402021030,1154,1670,18-29
401011002,402031036,868,5270,18-29
401011002,402031036,848,6353,30-39
401011002,402031036,562,5065,40-49
401011002,402031036,385,3807,50-59
401011002,402031036,571,5050,60-69
401011002,402031036,1266,12128,70-79
401011002,402031037,870,14389,18-29
401011002,402031038,689,6387,40-49
401011002,402031038,1007,9940,60-69
401011002,402041046,354,3783,40-49
401011002,402041171,1182,3293,30-39
401011002,402041171,582,14241,40-49
401011002,402051049,102,12778,18-29
401011002,402051049,1185,5797,30-39
401011002,402051052,1492,7910,18-29
401011002,402051052,1092,6161,30-39
401011002,402051052,636,4588,40-49
401011002,402051052,671,8875,50-59
401011002,402051052,770,5913,60-69
401011002,403011057,1341,4785,18-29
401011002,403011057,1025,2912,30-39
401011002,403011057,1058,5856,40-49
401011002,403011057,768,5499,50-59
401011002,403011057,712,12686,60-69
401011002,403021058,1211,4393,30-39
401011002,403021058,660,4725,60-69
401011002,403021061,977,1477,18-29
401011002,403021061,1064,1625,50-59
401011002,403021064,1423,8533,18-29
401011002,403021064,988,4665,30-39
401011002,403031067,701,14663,60-69
401011002,403031068,481,8373,60-69
401011002,403031069,1035,5569,18-29
401011002,403031069,846,12521,40-49
401011002,403031069,1195,10683,50-59
401011002,403031069,467,1631,70-79
401011002,403031070,831,14087,18-29
401011002,403031070,848,1841,30-39
401011002,403041072,553,1334,40-49
401011002,403041072,1110,12659,50-59
401011002,403041072,1251,13463,60-69
401011002,403041083,1369,13046,70-79
401011002,403041087,846,766,18-29
401011002,404011091,1067,2066,18-29
401011002,404011091,646,4288,50-59
401011002,404011092,1340,4916,18-29
401011002,404011092,836,1699,30-39
401011002,404011092,912,5898,40-49
401011002,404011093,580,13082,18-29
401011002,404011093,388,13540,30-39
401011002,404011093,1487,13376,40-49
401011002,404011093,300,1742,50-59
401011002,404011093,256,1561,60-69
401011002,404011093,1236,12791,70-79
401011002,404011093,204,13336,80+
401011002,404011096,996,6762,18-29
401011002,404011096,1092,5670,30-39
401011002,404011096,660,4266,40-49
401011002,404011096,764,3303,50-59
401011002,404011097,1265,6580,18-29
401011002,404011097,1310,9394,30-39
401011002,404011097,1207,9143,40-49
401011002,404011097,1044,7307,50-59
401011002,404011097,996,7817,60-69
401011002,404021099,727,14004,18-29
401011002,404021101,1135,2715,18-29
401011002,404021101,707,13715,30-39
401011002,404021101,773,1593,50-59
401011002,404021102,686,1732,18-29
401011002,404031104,182,12563,18-29
401011002,404031104,1376,11057,30-39
401011002,404031104,1324,11832,40-49
401011002,404031104,1165,9241,50-59
401011002,404031104,1167,8756,60-69
401011002,404031104,359,700,70-79
401011002,404031107,42,10793,18-29
401011002,404031107,69,12135,30-39
401011002,404031107,1347,11684,40-49
401011002,404031107,1438,1028,50-59
401011002,404031107,1309,12459,60-69
401011002,404031107,669,8437,70-79
401011002,404031108,830,4575,18-29
401011002,404031108,624,4447,30-39
401011002,404031108,489,8470,40-49
401011002,404031108,443,7291,50-59
401011002,404031108,312,3574,60-69
401011002,404031108,1184,11366,70-79
401011002,405021117,376,1930,60-69
401011002,405031122,420,12554,50-59
401011002,407011144,882,2142,18-29
401011002,407011144,1425,11291,50-59
401011002,407011144,1245,9531,60-69
401011002,407011148,1240,6750,18-29
401011002,407011148,962,3298,30-39
401011002,407011148,1211,9898,50-59
401011002,407011148,983,7307,60-69
401011002,407011148,933,5760,70-79
401011002,407011149,757,1478,60-69
401011002,407011149,955,1653,70-79
401021003,401011001,942,1386,18-29
401021003,401011001,548,14062,30-39
401021003,401011001,478,14465,40-49
401021003,401011001,194,14210,50-59
401021003,401011001,1341,12621,60-69
401021003,401011001,221,4712,70-79
401021003,401011002,851,986,18-29
401021003,401011002,689,14372,40-49
401021003,401011002,945,14442,50-59
401021003,401011002,413,14698,60-69
401021003,401021003,1157,5392,18-29
401021003,401021003,1422,10460,30-39
401021003,401021003,1492,11159,40-49
401021003,401021003,1480,12092,50-59
401021003,401021003,1216,9434,60-69
401021003,401021003,402,3911,70-79
401021003,401021003,97,5604,80+
401021003,401021004,978,7546,18-29
401021003,401021004,1067,9610,30-39
401021003,401021004,856,6489,40-49
401021003,401021004,906,7494,50-59
401021003,401021004,535,4632,60-69
401021003,401021006,1044,5152,18-29
401021003,401021006,1226,8805,30-39
401021003,401021006,1356,12097,40-49
401021003,401021006,1459,12510,50-59
401021003,401021006,1057,8255,60-69
401021003,401021007,907,5612,18-29
401021003,401021007,778,4911,30-39
401021003,401021007,868,7880,40-49
401021003,401021007,855,8329,50-59
401021003,401021007,506,3577,60-69
401021003,401021007,1446,13549,70-79
401021003,401031012,759,3192,50-59
401021003,401031013,895,8289,40-49
401021003,401031013,777,8053,50-59
401021003,401031013,405,5465,60-69
401021003,401041015,1158,6807,18-29
401021003,401041015,1098,9450,40-49
401021003,401041015,1200,10655,50-59
401021003,401041015,701,5760,60-69
401021003,401041016,810,2979,18-29
401021003,401041016,579,6184,40-49
401021003,401041016,603,6511,50-59
401021003,401051017,1161,2312,18-29
401021003,401051017,531,4391,30-39
401021003,401051017,681,4970,40-49
401021003,401051017,927,4532,50-59
401021003,401051018,962,1961,18-29
401021003,401051018,757,2362,30-39
401021003,401051018,929,5102,40-49
401021003,401051018,759,5279,50-59
401021003,401051019,732,3215,30-39
401021003,401051019,550,3974,40-49
401021003,401051019,508,2646,50-59
401021003,401061021,336,3823,50-59
401021003,402011026,264,12946,18-29
401021003,402011026,1352,12935,40-49
401021003,402011026,1363,11549,50-59
401021003,402011026,1070,10254,60-69
401021003,402021028,790,3885,18-29
401021003,402021028,1039,6913,30-39
401021003,402021028,1292,10765,40-49
401021003,402021028,996,6166,50-59
401021003,402021030,325,13858,18-29
401021003,402021030,70,12006,30-39
401021003,402021030,220,14772,40-49
401021003,402021030,99,12347,50-59
401021003,402021030,655,6150,60-69
401021003,402021032,1345,9082,18-29
401021003,402021032,695,5731,40-49
401021003,402021034,35,12059,18-29
401021003,402021034,1421,11846,30-39
401021003,402021034,1324,12604,40-49
401021003,402021034,46,12930,50-59
401021003,402021034,1100,10814,60-69
401021003,402031036,1411,13367,18-29
401021003,402031036,1495,14435,30-39
401021003,402031036,162,3962,40-49
401021003,402031036,1439,14795,50-59
401021003,402031036,978,12583,60-69
401021003,402031037,1238,3831,18-29
401021003,402031037,1045,4882,30-39
401021003,402031037,1317,8670,40-49
401021003,402031037,1023,6514,50-59
401021003,402031037,362,4681,60-69
401021003,402031038,1097,9040,18-29
401021003,402031038,970,9685,30-39
401021003,402031038,1223,11688,40-49
401021003,402031038,1036,9841,50-59
401021003,402031038,737,7883,60-69
401021003,402041040,910,3376,18-29
401021003,402041040,1011,7914,40-49
401021003,402041041,1183,5277,50-59
401021003,402041042,603,7288,30-39
401021003,402041042,931,9755,40-49
401021003,402041042,1021,10466,50-59
401021003,402041046,977,3100,18-29
401021003,402041046,1230,10466,30-39
401021003,402041046,1039,10358,40-49
401021003,402041046,1147,10970,50-59
401021003,402041047,759,3660,18-29
401021003,402041047,1025,7808,40-49
401021003,402041047,695,3006,50-59
401021003,402041171,846,2786,18-29
401021003,402041171,990,4544,30-39
401021003,402041171,858,2025,40-49
401021003,402041172,805,6544,18-29
401021003,402041172,1251,12365,40-49
401021003,402041172,710,8316,50-59
401021003,402051049,270,13197,18-29
401021003,402051049,480,14911,30-39
401021003,402051049,296,265,40-49
401021003,402051049,131,14586,50-59
401021003,402051049,44,14937,60-69
401021003,402051051,1070,7179,18-29
401021003,402051051,775,6510,30-39
401021003,402051051,1056,9050,40-49
401021003,402051051,1183,10061,50-59
401021003,402051052,1419,9616,18-29
401021003,402051052,1373,10593,30-39
401021003,402051052,1407,11547,40-49
401021003,402051052,1232,10147,50-59
401021003,402051052,807,7021,60-69
401021003,402051052,1292,10247,70-79
401021003,402051052,1043,11789,80+
401021003,402051053,579,3221,50-59
401021003,402051054,1301,9746,18-29
401021003,402051054,1355,9653,30-39
401021003,402051054,1489,12705,40-49
401021003,402051054,1490,13323,50-59
401021003,402051054,1180,9728,60-69
401021003,402051055,882,3587,18-29
401021003,402051055,969,7175,30-39
401021003,402051055,1166,9250,40-49
401021003,402051055,1118,9080,50-59
401021003,402051055,653,4470,60-69
401021003,402051055,674,5490,70-79
401021003,403021064,1014,4493,18-29
401021003,404011093,895,1912,18-29
401021003,404021101,868,14086,18-29
401021003,404031104,1161,5932,18-29
401021003,404031104,775,4994,30-39
401021003,404031104,974,6614,40-49
401021003,404031104,686,4542,50-59
401021003,404031107,978,8807,40-49
401021003,404031108,1123,4981,18-29
401021003,404031108,732,7858,30-39
401021003,404031108,1017,9885,40-49
401021003,404031108,764,8391,50-59
401021003,405011110,873,4248,18-29
401021003,405011110,865,3216,30-39
401021003,405011110,912,8389,40-49
401021003,405011110,1096,9053,50-59
401021003,405011110,1154,11921,60-69
401021003,405011110,157,14530,70-79
401021003,405011111,1114,1910,18-29
401021003,405011112,856,1626,50-59
401021003,405011114,959,7455,50-59
401021003,407011146,992,5229,50-59
401021003,407031164,814,544,18-29
401021003,407031164,1196,10221,30-39
401021003,407031164,904,3964,40-49
401021003,407031164,912,2593,50-59
401021003,407031165,12,9273,18-29
401021003,407031165,1063,8431,30-39
401021003,407031165,1044,6826,40-49
401021003,407031165,1412,11134,50-59
401021003,407031165,722,14104,60-69
401021004,401011001,599,12933,18-29
401021004,401011001,661,14989,30-39
401021004,401011001,885,3240,40-49
401021004,401011001,627,1201,50-59
401021004,401011001,88,13221,60-69
401021004,401011001,704,4997,70-79
401021004,401011001,376,4394,80+
401021004,401011002,113,8071,18-29
401021004,401011002,301,12355,30-39
401021004,401011002,657,14649,40-49
401021004,401011002,187,11976,50-59
401021004,401011002,1343,9404,60-69
401021004,401011002,354,703,70-79
401021004,401021003,818,2583,30-39
401021004,401021004,1008,3761,18-29
401021004,401021004,1409,10180,30-39
401021004,401021004,99,12688,40-49
401021004,401021004,42,12081,50-59
401021004,401021004,1446,11055,60-69
401021004,401021004,745,4120,70-79
401021004,401021004,965,7925,80+
401021004,401021005,272,12362,18-29
401021004,401021005,763,2948,30-39
401021004,401021005,848,5129,40-49
401021004,401021005,864,5138,50-59
401021004,401021005,670,2925,60-69
401021004,401021005,112,11692,70-79
401021004,401021006,447,13211,18-29
401021004,401021006,557,1635,30-39
401021004,401021006,766,5181,40-49
401021004,401021006,653,2725,50-59
401021004,401021006,564,1709,60-69
401021004,401021006,1484,11666,70-79
401021004,401021006,1355,11495,80+
401021004,401021007,249,13479,18-29
401021004,401021007,467,2037,30-39
401021004,401021007,563,4016,40-49
401021004,401021007,416,2844,50-59
401021004,401021007,327,1770,60-69
401021004,401021007,1068,10360,70-79
401021004,401021007,1240,12003,80+
401021004,401021008,842,3389,30-39
401021004,401021008,1218,8173,40-49
401021004,401021008,1005,4818,50-59
401021004,401021008,810,8951,60-69
401021004,401021010,1368,7391,18-29
401021004,401021010,1490,9705,30-39
401021004,401021010,1446,10922,40-49
401021004,401021010,1287,11127,50-59
401021004,401021010,1337,10073,60-69
401021004,401031011,1466,7829,18-29
401021004,401031011,1344,11456,30-39
401021004,401031011,255,14254,40-49
401021004,401031011,58,12100,50-59
401021004,401031011,1204,10563,60-69
401021004,401031011,186,410,70-79
401021004,401031012,1087,3316,18-29
401021004,401031012,1283,7901,30-39
401021004,401031012,1512,11887,40-49
401021004,401031012,1374,10848,50-59
401021004,401031012,1073,8616,60-69
401021004,401031012,163,14244,70-79
401021004,401031013,929,4767,18-29
401021004,401031013,1305,10554,30-39
401021004,401031013,32,13590,40-49
401021004,401031013,1311,11512,50-59
401021004,401031013,1083,10101,60-69
401021004,401031013,140,14265,70-79
401021004,401031013,63,14518,80+
401021004,401041015,1050,5171,18-29
401021004,401041015,1001,7759,30-39
401021004,401041015,1273,9748,40-49
401021004,401041015,1182,8167,50-59
401021004,401041015,900,7326,60-69
401021004,401041016,1363,9973,18-29
401021004,401041016,1398,12955,30-39
401021004,401041016,56,14553,40-49
401021004,401041016,166,14568,50-59
401021004,401041016,1228,12646,60-69
401021004,401051017,952,2741,18-29
401021004,401051017,879,5767,30-39
401021004,401051017,1276,10090,40-49
401021004,401051017,1002,8808,50-59
401021004,401051017,761,5682,60-69
401021004,401051017,1506,12306,70-79
401021004,401051018,299,12637,18-29
401021004,401051018,590,2741,40-49
401021004,401051018,392,14870,50-59
401021004,401051018,1433,12194,60-69
401021004,401051018,258,258,70-79
401021004,401051019,219,10773,18-29
401021004,401051019,305,386,30-39
401021004,401051019,263,1490,40-49
401021004,401051019,208,2037,50-59
401021004,401051019,1461,14835,60-69
401021004,401051019,269,7113,70-79
401021004,401061020,912,7027,30-39
401021004,401061020,958,7199,40-49
401021004,401061020,939,9688,50-59
401021004,401061021,1316,8953,18-29
401021004,401061021,17,12179,30-39
401021004,401061021,1250,11197,40-49
401021004,401061021,1466,12394,50-59
401021004,401061021,795,8715,60-69
401021004,401061022,1097,2754,30-39
401021004,401061022,759,3635,40-49
401021004,401071023,373,12720,18-29
401021004,401071023,681,2832,40-49
401021004,401071023,179,658,50-59
401021004,401071023,1391,12424,60-69
401021004,401071023,288,2515,70-79
401021004,401071024,838,2032,18-29
401021004,401071024,911,5153,30-39
401021004,401071024,1151,10355,40-49
401021004,401071024,847,7346,50-59
401021004,401071024,624,5367,60-69
401021004,401071024,1314,11207,70-79
401021004,402031036,62,13717,18-29
401021004,402031036,248,6226,30-39
401021004,402031036,213,4735,40-49
401021004,402031036,430,2664,50-59
401021004,402031036,1269,13410,60-69
401021004,402031036,522,9188,70-79
401021004,402031037,1056,5722,30-39
401021004,402031037,754,2065,40-49
401021004,402031037,912,1585,50-59
401021004,402031037,535,308,60-69
401021004,402031038,1061,8384,18-29
401021004,402031038,1165,10766,30-39
401021004,402031038,941,8500,40-49
401021004,402031038,1061,9233,50-59
401021004,402031038,529,6907,60-69
401021004,402041046,135,572,50-59
401021004,402041171,968,3282,30-39
401021004,402041171,923,13460,40-49
401021004,402051049,692,12171,40-49
401021004,402051052,1387,6917,18-29
401021004,402051052,134,11877,30-39
401021004,402051052,1242,9506,40-49
401021004,402051052,972,7527,50-59
401021004,402051052,459,4790,60-69
401021004,403011056,821,14564,18-29
401021004,403011056,1058,5650,40-49
401021004,403011056,1208,8683,50-59
401021004,403011056,1124,7938,60-69
401021004,403011057,102,10808,18-29
401021004,403011057,1456,9568,30-39
401021004,403011057,198,13124,40-49
401021004,403011057,32,11347,50-59
401021004,403011057,1317,8753,60-69
401021004,403021058,260,13356,18-29
401021004,403021058,33,14619,40-49
401021004,403021058,33,13960,50-59
401021004,403021058,1365,13578,60-69
401021004,403021058,31,4865,70-79
401021004,403021061,1405,10893,18-29
401021004,403021061,1456,14140,30-39
401021004,403021061,115,568,40-49
401021004,403021061,1501,14336,50-59
401021004,403021061,208,4858,70-79
401021004,403021064,745,2753,18-29
401021004,403021064,808,4346,30-39
401021004,403021064,1005,6733,40-49
401021004,403021064,693,3792,50-59
401021004,403021064,351,644,60-69
401021004,403021064,741,3802,70-79
401021004,403031065,498,685,18-29
401021004,403031065,900,3908,30-39
401021004,403031065,1069,8784,40-49
401021004,403031065,1120,7664,50-59
401021004,403031065,562,6066,60-69
401021004,403031066,1497,5218,18-29
401021004,403031066,192,5258,30-39
401021004,403031066,1506,3951,40-49
401021004,403031066,1279,3356,50-59
401021004,403031066,616,11642,60-69
401021004,403031067,288,11240,18-29
401021004,403031067,508,14805,30-39
401021004,403031067,698,2538,40-49
401021004,403031067,519,155,50-59
401021004,403031067,121,12590,60-69
401021004,403031068,348,14605,18-29
401021004,403031068,341,1406,30-39
401021004,403031068,463,2214,40-49
401021004,403031068,155,327,50-59
401021004,403031068,1454,14296,60-69
401021004,403031068,522,5247,70-79
401021004,403031069,422,12624,18-29
401021004,403031069,348,338,30-39
401021004,403031069,721,4186,40-49
401021004,403031069,521,1360,50-59
401021004,403031069,334,1806,60-69
401021004,403031069,960,10503,70-79
401021004,403031070,1183,5952,18-29
401021004,403031070,978,8519,30-39
401021004,403031070,1299,11777,40-49
401021004,403031070,1086,11119,50-59
401021004,403031070,957,10157,60-69
401021004,403041071,1195,1772,18-29
401021004,403041071,842,7400,40-49
401021004,403041071,681,6940,50-59
401021004,403041071,562,5933,60-69
401021004,403041072,1132,4911,30-39
401021004,403041072,701,2739,40-49
401021004,403041073,1201,5422,18-29
401021004,403041073,1427,10349,30-39
