source_sa2,target_sa2,count,amount,mcc
401011001,402011026,3317,12579,Retail Food Grocery and Supermarkets
401011001,402021030,2416,13349,Apparel Discount and Department Stores
401011001,402021030,3907,10850,Dining Sports and Entertainment
401011001,402021030,1943,11051,Retail Food Grocery and Supermarkets
401011001,402031036,912,12605,Apparel Discount and Department Stores
401011001,402031036,5852,10715,Auto and Transportation
401011001,402031036,868,6267,Dining Sports and Entertainment
401011001,402031036,1793,14611,Hardware Supplies and Homewares
401011001,402031036,2518,7495,Luxury and Speciality Stores
401011001,402031036,1541,13719,Retail Food Grocery and Supermarkets
401011001,402031037,3562,11388,Dining Sports and Entertainment
401011001,402031037,5367,7291,Retail Food Grocery and Supermarkets
401011001,402031038,3646,5470,Auto and Transportation
401011001,402031038,2689,12295,Dining Sports and Entertainment
401011001,402031038,2053,5812,Hardware Supplies and Homewares
401011001,402041040,5378,5285,Apparel Discount and Department Stores
401011001,402041040,3883,2370,Retail Food Grocery and Supermarkets
401011001,402041171,5346,13297,Dining Sports and Entertainment
401011001,402041171,4408,1853,Retail Food Grocery and Supermarkets
401011001,402051049,2564,14522,Dining Sports and Entertainment
401011001,402051049,3377,13360,Retail Food Grocery and Supermarkets
401011001,402051052,5821,8899,Apparel Discount and Department Stores
401011001,402051052,227,4676,Dining Sports and Entertainment
401011001,402051052,2538,6119,Luxury and Speciality Stores
401011001,402051052,4098,1749,Retail Food Grocery and Supermarkets
401011001,403011056,3804,14514,Dining Sports and Entertainment
401011001,403011056,5668,9089,Retail Food Grocery and Supermarkets
401011001,403011057,4785,6901,Apparel Discount and Department Stores
401011001,403011057,2735,12252,Dining Sports and Entertainment
401011001,403011057,4453,5682,Luxury and Speciality Stores
401011001,403011057,4711,4384,Personal Services
401011001,403011057,1089,11152,Retail Food Grocery and Supermarkets
401011001,403011057,3222,3566,Travel Accommodation and Rentals
401011001,403021058,6068,11825,Apparel Discount and Department Stores
401011001,403021058,4603,8010,Auto and Transportation
401011001,403021058,4416,336,Dining Sports and Entertainment
401011001,403021058,5425,7794,Hardware Supplies and Homewares
401011001,403021058,5600,7468,Retail Food Grocery and Supermarkets
401011001,403021061,1475,10692,Apparel Discount and Department Stores
401011001,403021061,4403,12471,Dining Sports and Entertainment
401011001,403021061,788,14765,Retail Food Grocery and Supermarkets
401011001,403021062,2720,1457,Apparel Discount and Department Stores
401011001,403021062,4355,2285,Dining Sports and Entertainment
401011001,403021062,1763,11809,Retail Food Grocery and Supermarkets
401011001,403021064,1490,14033,Apparel Discount and Department Stores
401011001,403021064,921,6892,Dining Sports and Entertainment
401011001,403021064,5030,10031,Luxury and Speciality Stores
401011001,403021064,1986,3822,Personal Services
401011001,403021064,6254,9559,Retail Food Grocery and Supermarkets
401011001,403031066,135,14893,Dining Sports and Entertainment
401011001,403031067,2223,13507,Retail Food Grocery and Supermarkets
401011001,403031068,5686,10676,Apparel Discount and Department Stores
401011001,403031068,3436,9549,Auto and Transportation
401011001,403031068,1779,5108,Hardware Supplies and Homewares
401011001,403031068,2990,8453,Luxury and Speciality Stores
401011001,403031068,2822,6341,Medical and Personal Care
401011001,403031068,1092,13972,Retail Food Grocery and Supermarkets
401011001,403031069,3028,1401,Apparel Discount and Department Stores
401011001,403031069,3205,10985,Auto and Transportation
401011001,403031069,6040,7875,Dining Sports and Entertainment
401011001,403031069,3359,2164,Luxury and Speciality Stores
401011001,403031069,1549,14355,Retail Food Grocery and Supermarkets
401011001,403031070,3578,7790,Auto and Transportation
401011001,403031070,293,11597,Retail Food Grocery and Supermarkets
401011001,403041072,2700,2870,Auto and Transportation
401011001,403041072,4329,3353,Retail Food Grocery and Supermarkets
401011001,403041073,2356,911,Apparel Discount and Department Stores
401011001,403041073,2709,11865,Personal Services
401011001,403041073,2656,246,Retail Food Grocery and Supermarkets
401011001,403041074,4159,530,Personal Services
401011001,403041083,2638,6925,Dining Sports and Entertainment
401011001,403041083,4322,8705,Retail Food Grocery and Supermarkets
401011001,403041087,4098,5058,Auto and Transportation
401011001,403041087,2590,14290,Retail Food Grocery and Supermarkets
401011001,404011090,2720,14916,Auto and Transportation
401011001,404011090,4385,12620,Dining Sports and Entertainment
401011001,404011091,2332,1688,Apparel Discount and Department Stores
401011001,404011091,5002,8868,Retail Food Grocery and Supermarkets
401011001,404011092,552,9303,Dining Sports and Entertainment
401011001,404011092,4775,3090,Retail Food Grocery and Supermarkets
401011001,404011093,5063,7453,Apparel Discount and Department Stores
401011001,404011093,5185,10579,Auto and Transportation
401011001,404011093,2157,10729,Dining Sports and Entertainment
401011001,404011093,3136,5177,Luxury and Speciality Stores
401011001,404011093,1588,7182,Medical and Personal Care
401011001,404011093,1656,196,Retail Food Grocery and Supermarkets
401011001,404011095,3086,529,Dining Sports and Entertainment
401011001,404011096,5288,9525,Apparel Discount and Department Stores
401011001,404011096,5164,14632,Dining Sports and Entertainment
401011001,404011096,1957,5228,Luxury and Speciality Stores
401011001,404011096,2891,2223,Retail Food Grocery and Supermarkets
401011001,404011097,5297,7998,Apparel Discount and Department Stores
401011001,404011097,2132,3274,Auto and Transportation
401011001,404011097,4792,3107,Dining Sports and Entertainment
401011001,404011097,2802,6048,Hardware Supplies and Homewares
401011001,404011097,6275,9276,Retail Food Grocery and Supermarkets
401011001,404021099,4001,14778,Dining Sports and Entertainment
401011001,404021099,2268,11439,Retail Food Grocery and Supermarkets
401011001,404021100,1902,9501,Retail Food Grocery and Supermarkets
401011001,404021101,2549,14936,Apparel Discount and Department Stores
401011001,404021101,5918,4883,Dining Sports and Entertainment
401011001,404021101,1278,13009,Luxury and Speciality Stores
401011001,404021101,5306,3129,Retail Food Grocery and Supermarkets
401011001,404021102,4505,1737,Dining Sports and Entertainment
401011001,404021102,2068,14550,Retail Food Grocery and Supermarkets
401011001,404031104,116,13633,Apparel Discount and Department Stores
401011001,404031104,6101,6474,Auto and Transportation
401011001,404031104,6046,1455,Dining Sports and Entertainment
401011001,404031104,1784,4800,Hardware Supplies and Homewares
401011001,404031104,448,11462,Luxury and Speciality Stores
401011001,404031104,5699,7403,Retail Food Grocery and Supermarkets
401011001,404031104,5328,6574,Travel Accommodation and Rentals
401011001,404031106,3053,5165,Auto and Transportation
401011001,404031106,5550,569,Dining Sports and Entertainment
401011001,404031107,4384,6857,Apparel Discount and Department Stores
401011001,404031107,2243,13937,Auto and Transportation
401011001,404031107,2207,9592,Dining Sports and Entertainment
401011001,404031107,4497,10260,Luxury and Speciality Stores
401011001,404031107,2883,11271,Medical and Personal Care
401011001,404031107,1690,4668,Personal Services
401011001,404031107,1196,11766,Professional Services
401011001,404031107,199,10619,Retail Food Grocery and Supermarkets
401011001,404031107,3340,5422,Travel Accommodation and Rentals
401011001,404031108,6242,14827,Apparel Discount and Department Stores
401011001,404031108,823,215,Auto and Transportation
401011001,404031108,2829,11802,Dining Sports and Entertainment
401011001,404031108,4333,11502,Hardware Supplies and Homewares
401011001,404031108,1668,11663,Luxury and Speciality Stores
401011001,404031108,2320,9606,Personal Services
401011001,404031108,5072,10384,Retail Food Grocery and Supermarkets
401011001,404031108,4544,3942,Travel Accommodation and Rentals
401011001,404031109,3487,14411,Dining Sports and Entertainment
401011001,405031122,6107,4589,Auto and Transportation
401011001,406021138,1540,13403,Retail Food Grocery and Supermarkets
401011001,406021142,1714,13846,Apparel Discount and Department Stores
401011001,407011144,1391,14688,Auto and Transportation
401011001,407011144,4711,4681,Dining Sports and Entertainment
401011001,407011144,272,10308,Retail Food Grocery and Supermarkets
401011001,407011144,1024,12294,Travel Accommodation and Rentals
401011001,407011145,1181,13679,Retail Food Grocery and Supermarkets
401011001,407011147,2256,14597,Retail Food Grocery and Supermarkets
401011001,407011148,5415,9381,Apparel Discount and Department Stores
401011001,407011148,4723,3787,Dining Sports and Entertainment
401011001,407011148,293,10819,Retail Food Grocery and Supermarkets
401011001,407011149,4070,2842,Retail Food Grocery and Supermarkets
401011001,407031160,1986,13498,Retail Food Grocery and Supermarkets
401011001,407031161,709,1934,Auto and Transportation
401011001,407031161,993,12201,Retail Food Grocery and Supermarkets
401011001,407031164,3469,6332,Retail Food Grocery and Supermarkets
401011001,407031165,3731,7884,Apparel Discount and Department Stores
401011001,407031165,1714,1592,Auto and Transportation
401011001,407031165,3002,11974,Dining Sports and Entertainment
401011001,407031165,4727,8425,Retail Food Grocery and Supermarkets
401011001,407031167,1674,12573,Retail Food Grocery and Supermarkets
401011001,407031169,2393,13592,Auto and Transportation
401011002,401011001,722,268,Apparel Discount and Department Stores
401011002,401011001,5949,6400,Auto and Transportation
401011002,401011001,3664,14508,Dining Sports and Entertainment
401011002,401011001,5495,198,Hardware Supplies and Homewares
401011002,401011001,5971,13840,Luxury and Speciality Stores
401011002,401011001,1496,7872,Medical and Personal Care
401011002,401011001,4942,7418,Personal Services
401011002,401011001,2930,9570,Professional Services
401011002,401011001,1246,9586,Retail Food Grocery and Supermarkets
401011002,401011001,2068,1083,Travel Accommodation and Rentals
401011002,401011002,5101,5825,Auto and Transportation
401011002,401011002,3008,13624,Dining Sports and Entertainment
401011002,401011002,6200,10100,Luxury and Speciality Stores
401011002,401011002,1782,8069,Medical and Personal Care
401011002,401011002,4478,9978,Personal Services
401011002,401011002,5314,6644,Retail Food Grocery and Supermarkets
401011002,401011002,3106,5294,Travel Accommodation and Rentals
401011002,401021004,5668,7038,Dining Sports and Entertainment
401011002,401021004,5088,3538,Retail Food Grocery and Supermarkets
401011002,401021006,3451,6365,Retail Food Grocery and Supermarkets
401011002,401021007,2108,10511,Auto and Transportation
401011002,401021007,1818,1112,Retail Food Grocery and Supermarkets
401011002,401031011,4972,3699,Dining Sports and Entertainment
401011002,401031011,4363,8963,Retail Food Grocery and Supermarkets
401011002,401031012,4878,3667,Dining Sports and Entertainment
401011002,401031012,770,13054,Retail Food Grocery and Supermarkets
401011002,401031013,782,3194,Apparel Discount and Department Stores
401011002,401031013,3962,12819,Auto and Transportation
401011002,401031013,746,10736,Dining Sports and Entertainment
401011002,401031013,6060,2199,Luxury and Speciality Stores
401011002,401031013,5466,2135,Medical and Personal Care
401011002,401031013,4336,11619,Personal Services
401011002,401031013,385,8959,Retail Food Grocery and Supermarkets
401011002,401041015,4702,6768,Retail Food Grocery and Supermarkets
401011002,401041016,4205,191,Dining Sports and Entertainment
401011002,401041016,3479,944,Retail Food Grocery and Supermarkets
401011002,401051017,5679,12629,Apparel Discount and Department Stores
401011002,401051017,4663,8858,Auto and Transportation
401011002,401051017,3620,193,Dining Sports and Entertainment
401011002,401051017,2128,2334,Hardware Supplies and Homewares
401011002,401051017,1644,1599,Luxury and Speciality Stores
401011002,401051017,4189,11970,Medical and Personal Care
401011002,401051017,3971,9442,Personal Services
401011002,401051017,1301,13794,Retail Food Grocery and Supermarkets
401011002,401051017,5328,9002,Travel Accommodation and Rentals
401011002,401051018,5907,10019,Apparel Discount and Department Stores
401011002,401051018,5390,2761,Dining Sports and Entertainment
401011002,401051018,2922,3138,Hardware Supplies and Homewares
401011002,401051018,2734,264,Retail Food Grocery and Supermarkets
401011002,401051019,5829,11036,Apparel Discount and Department Stores
401011002,401051019,1485,464,Auto and Transportation
401011002,401051019,6277,6848,Dining Sports and Entertainment
401011002,401051019,3791,9510,Luxury and Speciality Stores
401011002,401051019,2306,6670,Medical and Personal Care
401011002,401051019,2369,7518,Personal Services
401011002,401051019,2128,3812,Retail Food Grocery and Supermarkets
401011002,401061020,967,1140,Apparel Discount and Department Stores
401011002,401061020,92,13254,Auto and Transportation
401011002,401061020,504,6164,Dining Sports and Entertainment
401011002,401061020,2513,8001,Luxury and Speciality Stores
401011002,401061020,1943,6086,Medical and Personal Care
401011002,401061021,1987,2077,Apparel Discount and Department Stores
401011002,401061021,1504,14756,Auto and Transportation
401011002,401061021,2204,13008,Dining Sports and Entertainment
401011002,401061021,1897,2636,Hardware Supplies and Homewares
401011002,401061021,5466,9419,Luxury and Speciality Stores
401011002,401061021,3674,9125,Medical and Personal Care
401011002,401061021,4808,13503,Personal Services
401011002,401061021,3235,3705,Retail Food Grocery and Supermarkets
401011002,401061022,245,6890,Dining Sports and Entertainment
401011002,401061022,4164,8419,Retail Food Grocery and Supermarkets
401011002,401071023,555,10273,Dining Sports and Entertainment
401011002,401071023,4227,2203,Retail Food Grocery and Supermarkets
401011002,401071024,4595,12797,Apparel Discount and Department Stores
401011002,401071024,3907,13159,Auto and Transportation
401011002,401071024,634,11176,Dining Sports and Entertainment
401011002,401071024,2320,11873,Hardware Supplies and Homewares
401011002,401071024,2709,8525,Luxury and Speciality Stores
401011002,401071024,3143,8644,Medical and Personal Care
401011002,401071024,3282,9852,Personal Services
401011002,401071024,1309,12470,Retail Food Grocery and Supermarkets
401011002,402021030,4851,13577,Dining Sports and Entertainment
401011002,402031036,3768,6425,Apparel Discount and Department Stores
401011002,402031036,6099,12082,Auto and Transportation
401011002,402031036,1092,8110,Dining Sports and Entertainment
401011002,402031036,3870,4039,Hardware Supplies and Homewares
401011002,402031036,3383,8282,Luxury and Speciality Stores
401011002,402031036,3097,2815,Personal Services
401011002,402031036,3650,4926,Retail Food Grocery and Supermarkets
401011002,402031037,3071,3383,Retail Food Grocery and Supermarkets
401011002,402031038,3547,10881,Auto and Transportation
401011002,402041046,2404,12391,Dining Sports and Entertainment
401011002,402041046,1779,12290,Retail Food Grocery and Supermarkets
401011002,402041171,5299,14626,Dining Sports and Entertainment
401011002,402041171,4828,4691,Retail Food Grocery and Supermarkets
401011002,402051049,1126,12643,Dining Sports and Entertainment
401011002,402051052,5297,10542,Apparel Discount and Department Stores
401011002,402051052,5757,2984,Dining Sports and Entertainment
401011002,402051052,2332,6823,Luxury and Speciality Stores
401011002,402051052,2856,13809,Retail Food Grocery and Supermarkets
401011002,403011057,2158,1019,Apparel Discount and Department Stores
401011002,403011057,6205,6042,Dining Sports and Entertainment
401011002,403011057,4363,2983,Retail Food Grocery and Supermarkets
401011002,403021058,2911,2737,Apparel Discount and Department Stores
401011002,403021058,3349,14772,Retail Food Grocery and Supermarkets
401011002,403021061,2970,9018,Dining Sports and Entertainment
401011002,403021061,5332,9490,Retail Food Grocery and Supermarkets
401011002,403021064,4420,8212,Apparel Discount and Department Stores
401011002,403021064,5328,2013,Dining Sports and Entertainment
401011002,403031066,3554,8594,Dining Sports and Entertainment
401011002,403031068,2158,2612,Apparel Discount and Department Stores
401011002,403031068,3776,14236,Dining Sports and Entertainment
401011002,403031068,2750,535,Retail Food Grocery and Supermarkets
401011002,403031069,3713,2644,Dining Sports and Entertainment
401011002,403031069,5939,8457,Retail Food Grocery and Supermarkets
401011002,403031070,2526,14397,Auto and Transportation
401011002,403031070,4808,6306,Retail Food Grocery and Supermarkets
401011002,403041072,5021,8672,Retail Food Grocery and Supermarkets
401011002,403041083,2295,5203,Dining Sports and Entertainment
401011002,403041083,4373,8780,Retail Food Grocery and Supermarkets
401011002,403041087,2498,1406,Auto and Transportation
401011002,404011090,3061,13052,Dining Sports and Entertainment
401011002,404011091,4316,2662,Retail Food Grocery and Supermarkets
401011002,404011092,120,8248,Dining Sports and Entertainment
401011002,404011092,4559,2094,Retail Food Grocery and Supermarkets
401011002,404011093,4214,9098,Apparel Discount and Department Stores
401011002,404011093,88,12852,Auto and Transportation
401011002,404011093,3147,14707,Dining Sports and Entertainment
401011002,404011093,4133,9957,Luxury and Speciality Stores
401011002,404011093,5197,14599,Medical and Personal Care
401011002,404011093,6182,13697,Personal Services
401011002,404011093,2154,14523,Retail Food Grocery and Supermarkets
401011002,404011095,3273,14184,Dining Sports and Entertainment
401011002,404011096,4946,9480,Apparel Discount and Department Stores
401011002,404011096,4125,14063,Dining Sports and Entertainment
401011002,404011097,5765,9670,Apparel Discount and Department Stores
401011002,404011097,2320,1218,Auto and Transportation
401011002,404011097,3776,488,Dining Sports and Entertainment
401011002,404011097,2750,6795,Hardware Supplies and Homewares
401011002,404011097,6198,10653,Retail Food Grocery and Supermarkets
401011002,404021099,4349,3602,Dining Sports and Entertainment
401011002,404021101,5373,3843,Dining Sports and Entertainment
401011002,404021101,3407,14745,Retail Food Grocery and Supermarkets
401011002,404021102,2549,6455,Auto and Transportation
401011002,404021102,2940,13316,Dining Sports and Entertainment
401011002,404021102,1957,13595,Retail Food Grocery and Supermarkets
401011002,404031104,4587,10824,Apparel Discount and Department Stores
401011002,404031104,5032,4902,Auto and Transportation
401011002,404031104,4775,12927,Dining Sports and Entertainment
401011002,404031104,6153,14913,Hardware Supplies and Homewares
401011002,404031104,5821,9328,Luxury and Speciality Stores
401011002,404031104,3002,2176,Retail Food Grocery and Supermarkets
401011002,404031104,3359,14842,Travel Accommodation and Rentals
401011002,404031106,2425,1142,Auto and Transportation
401011002,404031107,94,12151,Apparel Discount and Department Stores
401011002,404031107,737,11524,Auto and Transportation
401011002,404031107,6277,4097,Dining Sports and Entertainment
401011002,404031107,2498,14381,Luxury and Speciality Stores
401011002,404031107,3680,3204,Retail Food Grocery and Supermarkets
401011002,404031108,6021,13334,Apparel Discount and Department Stores
401011002,404031108,5931,14833,Auto and Transportation
401011002,404031108,1477,10727,Dining Sports and Entertainment
401011002,404031108,2591,9444,Hardware Supplies and Homewares
401011002,404031108,1161,4115,Luxury and Speciality Stores
401011002,404031108,3746,4851,Retail Food Grocery and Supermarkets
401011002,405031122,4843,992,Auto and Transportation
401011002,407011144,5332,8260,Dining Sports and Entertainment
401011002,407011144,6056,9469,Retail Food Grocery and Supermarkets
401011002,407011145,2437,4033,Retail Food Grocery and Supermarkets
401011002,407011148,4752,8138,Apparel Discount and Department Stores
401011002,407011148,4768,2701,Dining Sports and Entertainment
401011002,407011148,2569,6577,Hardware Supplies and Homewares
401011002,407011148,5256,8126,Retail Food Grocery and Supermarkets
401011002,407011149,4917,5218,Retail Food Grocery and Supermarkets
401021003,401011001,6277,12727,Apparel Discount and Department Stores
401021003,401011001,1424,10493,Auto and Transportation
401021003,401011001,3972,14341,Dining Sports and Entertainment
401021003,401011001,64,14270,Luxury and Speciality Stores
401021003,401011001,3436,13892,Medical and Personal Care
401021003,401011001,5813,7056,Personal Services
401021003,401011001,119,4948,Retail Food Grocery and Supermarkets
401021003,401011001,3205,8113,Travel Accommodation and Rentals
401021003,401011002,303,6611,Dining Sports and Entertainment
401021003,401021003,5776,9817,Auto and Transportation
401021003,401021003,4489,5046,Dining Sports and Entertainment
401021003,401021003,2557,5195,Hardware Supplies and Homewares
401021003,401021003,3610,812,Luxury and Speciality Stores
401021003,401021003,2930,4636,Medical and Personal Care
401021003,401021003,2012,10080,Personal Services
401021003,401021003,3680,11910,Professional Services
401021003,401021003,1620,13886,Retail Food Grocery and Supermarkets
401021003,401021004,2120,5261,Apparel Discount and Department Stores
401021003,401021004,2474,8189,Auto and Transportation
401021003,401021004,4242,3869,Dining Sports and Entertainment
401021003,401021004,4483,6739,Retail Food Grocery and Supermarkets
401021003,401021005,3044,1798,Dining Sports and Entertainment
401021003,401021005,3143,2832,Retail Food Grocery and Supermarkets
401021003,401021006,5087,10559,Auto and Transportation
401021003,401021006,2818,14150,Dining Sports and Entertainment
401021003,401021006,782,2266,Hardware Supplies and Homewares
401021003,401021006,744,13302,Luxury and Speciality Stores
401021003,401021006,4835,9010,Medical and Personal Care
401021003,401021006,919,9323,Personal Services
401021003,401021006,2734,10277,Professional Services
401021003,401021006,1449,13702,Retail Food Grocery and Supermarkets
401021003,401021006,1818,8947,Trades and Light Manufacturing
401021003,401021006,1577,13657,Travel Accommodation and Rentals
401021003,401021007,2991,4755,Apparel Discount and Department Stores
401021003,401021007,1695,4675,Auto and Transportation
401021003,401021007,2752,11731,Dining Sports and Entertainment
401021003,401021007,2267,7623,Hardware Supplies and Homewares
401021003,401021007,1379,947,Luxury and Speciality Stores
401021003,401021007,4477,12487,Medical and Personal Care
401021003,401021007,2666,7525,Personal Services
401021003,401021007,4034,6854,Retail Food Grocery and Supermarkets
401021003,401031012,2579,4012,Auto and Transportation
401021003,401031012,4672,14632,Dining Sports and Entertainment
401021003,401031012,3625,5515,Retail Food Grocery and Supermarkets
401021003,401031013,2590,5647,Apparel Discount and Department Stores
401021003,401031013,3086,13381,Dining Sports and Entertainment
401021003,401031013,1856,12655,Medical and Personal Care
401021003,401031013,2132,13930,Retail Food Grocery and Supermarkets
401021003,401041015,2393,2961,Apparel Discount and Department Stores
401021003,401041015,3053,6083,Auto and Transportation
401021003,401041015,5990,11493,Retail Food Grocery and Supermarkets
401021003,401041016,2108,3840,Auto and Transportation
401021003,401041016,1040,7975,Hardware Supplies and Homewares
401021003,401041016,1902,14318,Retail Food Grocery and Supermarkets
401021003,401051017,5122,3513,Dining Sports and Entertainment
401021003,401051018,4200,8279,Apparel Discount and Department Stores
401021003,401051018,4764,312,Dining Sports and Entertainment
401021003,401051019,2760,3177,Auto and Transportation
401021003,401051019,1999,11224,Dining Sports and Entertainment
401021003,401051019,2416,14644,Retail Food Grocery and Supermarkets
401021003,401071023,4070,14781,Dining Sports and Entertainment
401021003,402011025,2856,2462,Auto and Transportation
401021003,402011026,393,13815,Apparel Discount and Department Stores
401021003,402011026,3776,7290,Auto and Transportation
401021003,402011026,546,7742,Dining Sports and Entertainment
401021003,402011026,4373,10994,Hardware Supplies and Homewares
401021003,402011026,4420,7781,Luxury and Speciality Stores
401021003,402011026,310,13394,Retail Food Grocery and Supermarkets
401021003,402021028,5117,9325,Apparel Discount and Department Stores
401021003,402021028,5777,10612,Retail Food Grocery and Supermarkets
401021003,402021030,5474,11303,Auto and Transportation
401021003,402021030,827,5646,Dining Sports and Entertainment
401021003,402021030,5796,11602,Luxury and Speciality Stores
401021003,402021030,2053,6789,Personal Services
401021003,402021030,5721,8697,Retail Food Grocery and Supermarkets
401021003,402021032,4391,11332,Hardware Supplies and Homewares
401021003,402021032,3646,4653,Retail Food Grocery and Supermarkets
401021003,402021034,223,13493,Apparel Discount and Department Stores
401021003,402021034,4899,10121,Auto and Transportation
401021003,402021034,5664,4947,Dining Sports and Entertainment
401021003,402021034,3847,8796,Luxury and Speciality Stores
401021003,402021034,359,14202,Retail Food Grocery and Supermarkets
401021003,402031036,4200,8115,Apparel Discount and Department Stores
401021003,402031036,6235,13849,Auto and Transportation
401021003,402031036,5260,1936,Dining Sports and Entertainment
401021003,402031036,4447,4211,Hardware Supplies and Homewares
401021003,402031036,371,2729,Luxury and Speciality Stores
401021003,402031036,4835,5582,Retail Food Grocery and Supermarkets
401021003,402031037,4249,7187,Auto and Transportation
401021003,402031037,5663,1840,Dining Sports and Entertainment
401021003,402031037,3783,8044,Luxury and Speciality Stores
401021003,402031037,5256,8699,Retail Food Grocery and Supermarkets
401021003,402031038,5515,13161,Auto and Transportation
401021003,402031038,3399,13202,Dining Sports and Entertainment
401021003,402031038,5197,12846,Hardware Supplies and Homewares
